wallet,lamports,sol,tx_count,first_tx,last_tx,pct_of_total
H28rgjDmYaks3HQBYpxj5CawGpayKqP6AAVh7g3ugjBS,114310000000,114.310000000,2,1730061729,1730129944,0.288454
3btmRAAy3fMAeeR6fYBh8XM1jWraQbfLn9sVtvg3gRbW,114000000000,114.000000000,1,1730069414,1730069414,0.287671
9ZTL9sveSQ2jniZyd9nbAVksxBp2V3cEhtoeyHuCWQA6,114000000000,114.000000000,1,1730114198,1730114198,0.287671
J8vqcLttjGbSPhbNCyp3CL5k8jzXcvcW2MCXHjmMYVxi,113660000000,113.660000000,1,1730038150,1730038150,0.286813
CRt6FEZoWU8igRMmzvcYmAvtAC1Y3y2xxg6Gu7NG9auw,110000000000,110.000000000,2,1730035744,1730120684,0.277578
Hi3PKQr56rj2owXXUHALVZAWkkHUrmm19mDJZ7Usyfrd,110000000000,110.000000000,1,1729957707,1729957707,0.277578
J4JDNiKT3yu2zqDmxcLZQbxBefwd5nSP3Qhz4yEzA4uj,110000000000,110.000000000,3,1729973815,1730082108,0.277578
C45tbZRx36qbRWAQuifrocVg3XeyEALrsegqrT4wbE2f,101000000000,101.000000000,1,1730074800,1730074800,0.254867
7EUMZX5G9d4AyRY9kcMvUHDsseoU3jS8N3W3FUjkfpD,100010000000,100.010000000,4,1729900876,1730068461,0.252369
2kNeZupEKVp6Y25t3ZYSuqJ7VgpFHpvgcKySRb3StMao,100000000000,100.000000000,1,1729959903,1729959903,0.252343
2YrKxjg1WKPqd19ivu6fWkfCG7VFZPyCAGYefd9zAnC7,100000000000,100.000000000,1,1729965002,1729965002,0.252343
4DNpYmquCELYSGvQmeqfHL3G4HyQGW26cRXAzWnsCVux,100000000000,100.000000000,1,1729984045,1729984045,0.252343
4uSPP5979o6gRFEzLNh9PvZKv174D3uJVHK7NwLqg7dS,100000000000,100.000000000,1,1729894613,1729894613,0.252343
4ZvwznnwmCjZ6qGh7g9Th4kMJJFofsJgKGDrBomszAiC,100000000000,100.000000000,1,1730047863,1730047863,0.252343
5LFAfmMBep265VT1YkhLP27UixQkFeF9pnmT6DTEKbkM,100000000000,100.000000000,1,1730105475,1730105475,0.252343
5QEdd8TTKEPf3cXjDyUdELUxWVtGMxcfNTScMMRdiLtY,100000000000,100.000000000,1,1729892955,1729892955,0.252343
5TFSuhCkfjLygKPD59UUoBnno2Fsmo6QAU1jvmcbzeMr,100000000000,100.000000000,1,1730063859,1730063859,0.252343
6Nu5aCKEfXrKLm5bkUYts3QhrVG8PcxSuJ2V8DYix2Pr,100000000000,100.000000000,1,1730122605,1730122605,0.252343
6p8cxa2G17qaJf4LnoioyQ2vjmfaY91hc2cYghQiovXf,100000000000,100.000000000,1,1730077139,1730077139,0.252343
6u78dnHYpesnhDBa1fKCVUMr9ai9vn9VhhJ4TUuue5D9,100000000000,100.000000000,1,1730129778,1730129778,0.252343
7fxfsuwCJpdvxYYbzbVcsmBMGGtfMWkCVonLEv4E9Khf,100000000000,100.000000000,1,1730043697,1730043697,0.252343
aPGEwo1grWpYc2Vp2jP5zcNuqDLj8A3yoigAKUh5zM9,100000000000,100.000000000,1,1730096816,1730096816,0.252343
CxTa7wVBDsvtQVqyCwHhXxH42pnyGJcDCKUfUKz2Ptv6,100000000000,100.000000000,2,1729872421,1729897458,0.252343
DgyBddqzSxZW9tYwiqJyV4eKpBhez2ZScjyZqvvKvgmw,100000000000,100.000000000,1,1730083815,1730083815,0.252343
DHPmbH9VqoRUERdAXDhsVE3qDzovy6NhUvDCKsLzDMmB,100000000000,100.000000000,1,1730131028,1730131028,0.252343
gPrjqtxqigZnutVPA9BiVNFVsGd6FrDCStHiQWS336S,100000000000,100.000000000,1,1730129250,1730129250,0.252343
J7QDiXHKhkWG1LS7hUTAfny5k8NQ4sg6MEx7vMHXdewU,100000000000,100.000000000,1,1730049006,1730049006,0.252343
AWj71A1wQqsGt1nhj4uMbya42Qd9aiyyCKVRbE8Nnf4Y,99999985000,99.999985000,1,1729993342,1729993342,0.252343
3EUcVkyboGB6jnUr3GWapjhVZ48CPv35zifFkRZEhRFz,93000000000,93.000000000,5,1730059643,1730129746,0.234679
6GMf2YQi5VZp3b3Pqgf7pwVUqVcLm2H6siCHk5oY7mTo,91000000000,91.000000000,1,1730129328,1730129328,0.229632
4vdC3JmLHrBvWjGGQSiBW8Tg6XyjBbqRmkzqqZwDQbDK,90529023667,90.529023667,2,1729903041,1730126458,0.228444
4p2TWX7EK93jY4haAGwxYcbgmaUcE96TQzm5JeK1JNMb,90000000000,90.000000000,1,1729966021,1729966021,0.227109
591bkheDhy9f77DagBLnjDRNkuqoCrkK5rDZSaQuVkTm,90000000000,90.000000000,1,1730042312,1730042312,0.227109
CWnFjjQFDYFWHUjmg4eLmFuhaoqLdLXzZCCX3nbQbvCQ,90000000000,90.000000000,3,1730130113,1730131138,0.227109
GScqZvRuVuyGPnm1XgGyDNmR3tNGtg1TeUWBvNuM33P3,90000000000,90.000000000,2,1729874297,1730128790,0.227109
ArrL15JjF2HNRS2L66V7hkWRWRaGRCKLadCu27xHzVbD,88000000000,88.000000000,1,1729983695,1729983695,0.222062
3v4ptm55aZuVCUAzn5GKmNBTtYQLqx1bgB5XDrxiATUf,87000000000,87.000000000,1,1729894296,1729894296,0.219539
G9vmiQpHBTeWhNVZkvXQoQ7mAJPsEnJasUMG1veSVHZj,87000000000,87.000000000,2,1730081298,1730131102,0.219539
Bqs5i57TzHxZDdbcNVJdiuzYQrB8gCsJjmHSm8sbWXtn,86000000000,86.000000000,2,1730122056,1730122107,0.217015
58uP5UWXaZVv19uoGX4MqqRS2L6bA7tGmxxZK51QXFKL,80000000000,80.000000000,1,1729911630,1729911630,0.201875
81zCWS5AnrVQwNVfGndzcNiZ4pxRAbK9MCojKxTnrgbc,80000000000,80.000000000,2,1730019060,1730116364,0.201875
Bbj4XufvCtNsgM4Z7KDHvmGXLSsccbAXBLjdq5J2mvsp,80000000000,80.000000000,2,1729895910,1730075867,0.201875
Bv7TBgTJCR7FRH8mYgaWFx7H87rKX7g9rb3XYBkP6TPa,80000000000,80.000000000,1,1729959282,1729959282,0.201875
FEJfMQBGGKyeDVHZkETLCu8dXez1Ce89WeUJyJyyMEpC,80000000000,80.000000000,1,1729956282,1729956282,0.201875
7D7bFfJZyc2EvcXRNWeGMjBgAddcey3fAtEUdourEN4j,78000000000,78.000000000,1,1730131226,1730131226,0.196828
3ektTjVC5x9QkiEMoagrGGv9xTPFNw7f7ttiYiLZ15kW,75000000000,75.000000000,4,1729877391,1730120382,0.189257
6C1prnKQBiJktxCUUbVHQPyspxWDopEymT9EE9uvpdgY,75000000000,75.000000000,1,1730121578,1730121578,0.189257
BUeeXZ23Cj9gvqJ119bs3dzXv6srfdpvYKp8SqRooHYi,75000000000,75.000000000,1,1730068646,1730068646,0.189257
HNukSiY7DZMFmFpoEBCeodkMQMbuaEMh5wcxgNVFfTcz,75000000000,75.000000000,1,1730081750,1730081750,0.189257
4w3PFrtGRvKoUATQCTWo1hrn18o3yV5ZSVbBKxGmYg2A,74000000000,74.000000000,1,1730121513,1730121513,0.186734
4bjf65EZrNLfVJd8Bp6xRvHk8CSdiK34Wi7r27DPwwfR,70000000000,70.000000000,5,1730050914,1730131036,0.176640
7q7xF942yiKBHt3VW5v3FoAM9ja72y8fsMwSVCwTRE3Z,70000000000,70.000000000,7,1729876204,1730037267,0.176640
EnozJj7kz8fSnmugTkpPTKCJ15dW6TwBLNPcHvPUN8He,70000000000,70.000000000,1,1730082392,1730082392,0.176640
XpaaNQ6kmMXZxLYY5HaQ7Ns2YffPGqsz5ADRZuXwDSW,70000000000,70.000000000,1,1729950441,1729950441,0.176640
4MeZjYCauRvZLiDvkettAMvwHXb6xu8YqcAwuTZwpRsB,69000000000,69.000000000,1,1729872432,1729872432,0.174117
7HB1AbmCiz4werAigN34UXLF5RL4KfynUoJ4FxJYLBkf,69000000000,69.000000000,1,1730048026,1730048026,0.174117
Cfec4QM2RfK6oXiM8UKJAWoEawz7m85mYnE5BQhY5SRF,69000000000,69.000000000,1,1729958749,1729958749,0.174117
